#Second case with k = 0.4 and B = 20.0
#u              v              
3.171082        0.337942       
3.174462        0.130278       
3.175765        -0.078601      
3.174979        -0.288070      
3.172098        -0.497505      
3.167123        -0.706287      
3.160060        -0.913809      
3.150922        -1.119478      
3.139727        -1.322718      
3.126500        -1.522976      
3.111270        -1.719725      
3.094073        -1.912468      
3.074948        -2.100737      
3.053941        -2.284100      
3.031100        -2.462161      
3.006478        -2.634563      
2.980133        -2.800986      
2.952123        -2.961153      
2.922511        -3.114825      
2.891363        -3.261804      
2.858745        -3.401934      
2.824726        -3.535097      
2.789375        -3.661213      
2.752762        -3.780242      
2.714960        -3.892176      
2.676038        -3.997043      
2.636068        -4.094905      
2.595119        -4.185849      
2.553260        -4.269995      
2.510560        -4.347485      
2.467085        -4.418485      
2.422901        -4.483181      
2.378069        -4.541780      
2.332651        -4.594503      
2.286706        -4.641584      
2.240290        -4.683270      
2.193457        -4.719818      
2.146259        -4.751491      
2.098744        -4.778559      
2.050959        -4.801294      
2.002946        -4.819972      
1.954746        -4.834870      
1.906397        -4.846262      
1.857935        -4.854422      
1.809391        -4.859621      
1.760794        -4.862125      
1.712173        -4.862194      
1.663551        -4.860086      
1.614950        -4.856048      
1.566390        -4.850324      
1.517887        -4.843147      
1.469455        -4.834746      
1.421108        -4.825338      
1.372854        -4.815135      
1.324703        -4.804338      
1.276660        -4.793140      
1.228728        -4.781728      
1.180911        -4.770276      
1.133208        -4.758952      
1.085619        -4.747915      
1.038139        -4.737315      
0.990766        -4.727295      
0.943493        -4.717989      
0.896313        -4.709521      
0.849218        -4.702010      
0.802198        -4.695567      
0.755242        -4.690293      
0.708340        -4.686283      
0.661477        -4.683627      
0.614640        -4.682403      
0.567816        -4.682687      
0.520990        -4.684544      
0.474144        -4.688036      
0.427264        -4.693216      
0.380332        -4.700130      
0.333330        -4.708820      
0.286242        -4.719319      
0.239049        -4.731655      
0.191732        -4.745851      
0.144274        -4.761919      
0.096655        -4.779870      
0.048856        -4.799705      
0.000859        -4.821419      
-0.047355       -4.845001      
-0.095805       -4.870432      
-0.144510       -4.897687      
-0.193487       -4.926732      
-0.242754       -4.957528      
-0.292329       -4.990027      
-0.342229       -5.024171      
-0.392471       -5.059897      
-0.443070       -5.097130      
-0.494041       -5.135789      
-0.545399       -5.175780      
-0.597157       -5.217002      
-0.649327       -5.259343      
